Fecha,ClaveEstado,Estado,NivelSemaforo
24/09/2021,20,Oaxaca,2
25/09/2021,20,Oaxaca,2
26/09/2021,20,Oaxaca,2
27/09/2021,20,Oaxaca,2
28/09/2021,20,Oaxaca,2
29/09/2021,20,Oaxaca,2
30/09/2021,20,Oaxaca,2
01/10/2021,20,Oaxaca,2
02/10/2021,20,Oaxaca,2
03/10/2021,20,Oaxaca,2
20/09/2021,21,Puebla,2
21/09/2021,21,Puebla,2
22/09/2021,21,Puebla,2
23/09/2021,21,Puebla,2
24/09/2021,21,Puebla,2
25/09/2021,21,Puebla,2
26/09/2021,21,Puebla,2
27/09/2021,21,Puebla,2
28/09/2021,21,Puebla,2
29/09/2021,21,Puebla,2
30/09/2021,21,Puebla,2
01/10/2021,21,Puebla,2
02/10/2021,21,Puebla,2
03/10/2021,21,Puebla,2
20/09/2021,22,Querétaro,2
21/09/2021,22,Querétaro,2
22/09/2021,22,Querétaro,2
23/09/2021,22,Querétaro,2
24/09/2021,22,Querétaro,2
25/09/2021,22,Querétaro,2
26/09/2021,22,Querétaro,2
27/09/2021,22,Querétaro,2
28/09/2021,22,Querétaro,2
29/09/2021,22,Querétaro,2
30/09/2021,22,Querétaro,2
01/10/2021,22,Querétaro,2
02/10/2021,22,Querétaro,2
03/10/2021,22,Querétaro,2
20/09/2021,23,Quintana Roo,2
21/09/2021,23,Quintana Roo,2
22/09/2021,23,Quintana Roo,2
23/09/2021,23,Quintana Roo,2
24/09/2021,23,Quintana Roo,2
25/09/2021,23,Quintana Roo,2
26/09/2021,23,Quintana Roo,2
27/09/2021,23,Quintana Roo,2
28/09/2021,23,Quintana Roo,2
29/09/2021,23,Quintana Roo,2
30/09/2021,23,Quintana Roo,2
01/10/2021,23,Quintana Roo,2
02/10/2021,23,Quintana Roo,2
03/10/2021,23,Quintana Roo,2
20/09/2021,24,San Luis Potosí,2
21/09/2021,24,San Luis Potosí,2
22/09/2021,24,San Luis Potosí,2
23/09/2021,24,San Luis Potosí,2
24/09/2021,24,San Luis Potosí,2
25/09/2021,24,San Luis Potosí,2
26/09/2021,24,San Luis Potosí,2
27/09/2021,24,San Luis Potosí,2
28/09/2021,24,San Luis Potosí,2
29/09/2021,24,San Luis Potosí,2
30/09/2021,24,San Luis Potosí,2
01/10/2021,24,San Luis Potosí,2
02/10/2021,24,San Luis Potosí,2
03/10/2021,24,San Luis Potosí,2
20/09/2021,25,Sinaloa,1
21/09/2021,25,Sinaloa,1
22/09/2021,25,Sinaloa,1
23/09/2021,25,Sinaloa,1
24/09/2021,25,Sinaloa,1
25/09/2021,25,Sinaloa,1
26/09/2021,25,Sinaloa,1
